Episode 60 | Reward: 91.40 | Steps: 35 | Epsilon: 0.22 | Result: WIN | Time: 0.00007s
Episode 61 | Reward: 94.30 | Steps: 27 | Epsilon: 0.22 | Result: WIN | Time: 0.00006s
Episode 62 | Reward: 95.60 | Steps: 29 | Epsilon: 0.22 | Result: WIN | Time: 0.00006s
Episode 63 | Reward: 91.40 | Steps: 30 | Epsilon: 0.22 | Result: WIN | Time: 0.00007s
Episode 64 | Reward: 91.30 | Steps: 30 | Epsilon: 0.22 | Result: WIN | Time: 0.00006s
Episode 65 | Reward: 95.60 | Steps: 29 | Epsilon: 0.22 | Result: WIN | Time: 0.00006s
Episode 66 | Reward: 95.30 | Steps: 26 | Epsilon: 0.22 | Result: WIN | Time: 0.00006s
Episode 67 | Reward: 92.70 | Steps: 35 | Epsilon: 0.22 | Result: WIN | Time: 0.00007s
Episode 68 | Reward: 90.50 | Steps: 44 | Epsilon: 0.21 | Result: WIN | Time: 0.00009s
Episode 69 | Reward: 96.10 | Steps: 22 | Epsilon: 0.21 | Result: WIN | Time: 0.00005s
Episode 70 | Reward: 93.30 | Steps: 28 | Epsilon: 0.21 | Result: WIN | Time: 0.00006s
Episode 71 | Reward: 94.10 | Steps: 24 | Epsilon: 0.21 | Result: WIN | Time: 0.00005s
Episode 72 | Reward: 98.10 | Steps: 20 | Epsilon: 0.21 | Result: WIN | Time: 0.00004s
Episode 73 | Reward: 94.70 | Steps: 25 | Epsilon: 0.21 | Result: WIN | Time: 0.00005s
Episode 74 | Reward: 95.70 | Steps: 24 | Epsilon: 0.21 | Result: WIN | Time: 0.00005s
Episode 75 | Reward: 82.30 | Steps: 67 | Epsilon: 0.21 | Result: WIN | Time: 0.00014s
Episode 76 | Reward: 96.10 | Steps: 22 | Epsilon: 0.21 | Result: WIN | Time: 0.00005s
Episode 77 | Reward: 96.10 | Steps: 22 | Epsilon: 0.20 | Result: WIN | Time: 0.00005s
Episode 78 | Reward: 97.40 | Steps: 24 | Epsilon: 0.20 | Result: WIN | Time: 0.00005s
Episode 79 | Reward: 94.60 | Steps: 30 | Epsilon: 0.20 | Result: WIN | Time: 0.00006s
Episode 80 | Reward: 95.10 | Steps: 23 | Epsilon: 0.20 | Result: WIN | Time: 0.00005s
Episode 81 | Reward: 97.10 | Steps: 21 | Epsilon: 0.20 | Result: WIN | Time: 0.00005s
Episode 82 | Reward: 97.70 | Steps: 22 | Epsilon: 0.20 | Result: WIN | Time: 0.00005s
Episode 83 | Reward: 97.10 | Steps: 21 | Epsilon: 0.20 | Result: WIN | Time: 0.00005s
Episode 84 | Reward: 95.10 | Steps: 23 | Epsilon: 0.20 | Result: WIN | Time: 0.00005s
Episode 85 | Reward: 93.90 | Steps: 29 | Epsilon: 0.20 | Result: WIN | Time: 0.00006s
Episode 86 | Reward: 96.10 | Steps: 22 | Epsilon: 0.20 | Result: WIN | Time: 0.00005s
Episode 87 | Reward: 93.90 | Steps: 29 | Epsilon: 0.19 | Result: WIN | Time: 0.00006s
Episode 88 | Reward: 94.60 | Steps: 30 | Epsilon: 0.19 | Result: WIN | Time: 0.00006s
Episode 89 | Reward: 95.30 | Steps: 26 | Epsilon: 0.19 | Result: WIN | Time: 0.00005s
Episode 90 | Reward: 96.10 | Steps: 22 | Epsilon: 0.19 | Result: WIN | Time: 0.00005s
Episode 91 | Reward: 95.00 | Steps: 28 | Epsilon: 0.19 | Result: WIN | Time: 0.00006s
Episode 92 | Reward: 97.70 | Steps: 22 | Epsilon: 0.19 | Result: WIN | Time: 0.00005s
Episode 93 | Reward: 97.10 | Steps: 21 | Epsilon: 0.19 | Result: WIN | Time: 0.00005s
Episode 94 | Reward: 94.30 | Steps: 27 | Epsilon: 0.19 | Result: WIN | Time: 0.00006s
Episode 95 | Reward: 95.90 | Steps: 27 | Epsilon: 0.19 | Result: WIN | Time: 0.00006s
Episode 96 | Reward: 94.30 | Steps: 27 | Epsilon: 0.19 | Result: WIN | Time: 0.00006s
Episode 97 | Reward: 96.50 | Steps: 28 | Epsilon: 0.19 | Result: WIN | Time: 0.00006s
Episode 98 | Reward: 87.70 | Steps: 47 | Epsilon: 0.18 | Result: WIN | Time: 0.00010s
Episode 99 | Reward: 97.10 | Steps: 21 | Epsilon: 0.18 | Result: WIN | Time: 0.00005s
Episode 100 | Reward: 96.10 | Steps: 22 | Epsilon: 0.18 | Result: WIN | Time: 0.00005s
Episode 101 | Reward: 96.10 | Steps: 22 | Epsilon: 0.18 | Result: WIN | Time: 0.00005s
Episode 102 | Reward: 95.30 | Steps: 26 | Epsilon: 0.18 | Result: WIN | Time: 0.00006s
Episode 103 | Reward: 93.50 | Steps: 31 | Epsilon: 0.18 | Result: WIN | Time: 0.00006s
Episode 104 | Reward: 96.50 | Steps: 25 | Epsilon: 0.18 | Result: WIN | Time: 0.00005s
Episode 105 | Reward: 98.10 | Steps: 20 | Epsilon: 0.18 | Result: WIN | Time: 0.00004s
Episode 106 | Reward: 95.10 | Steps: 23 | Epsilon: 0.18 | Result: WIN | Time: 0.00005s
Episode 107 | Reward: 97.10 | Steps: 21 | Epsilon: 0.18 | Result: WIN | Time: 0.00005s
Episode 108 | Reward: 95.30 | Steps: 26 | Epsilon: 0.18 | Result: WIN | Time: 0.00006s
Episode 109 | Reward: 97.70 | Steps: 22 | Epsilon: 0.17 | Result: WIN | Time: 0.00005s
Episode 110 | Reward: 98.10 | Steps: 20 | Epsilon: 0.17 | Result: WIN | Time: 0.00004s
Episode 111 | Reward: 97.70 | Steps: 22 | Epsilon: 0.17 | Result: WIN | Time: 0.00005s
Episode 112 | Reward: 95.70 | Steps: 24 | Epsilon: 0.17 | Result: WIN | Time: 0.00005s
Episode 113 | Reward: 97.70 | Steps: 22 | Epsilon: 0.17 | Result: WIN | Time: 0.00005s
Episode 114 | Reward: 95.80 | Steps: 24 | Epsilon: 0.17 | Result: WIN | Time: 0.00005s
Episode 115 | Reward: 96.50 | Steps: 25 | Epsilon: 0.17 | Result: WIN | Time: 0.00005s
Episode 116 | Reward: 95.80 | Steps: 24 | Epsilon: 0.17 | Result: WIN | Time: 0.00005s
Episode 117 | Reward: 96.10 | Steps: 22 | Epsilon: 0.17 | Result: WIN | Time: 0.00005s
Episode 118 | Reward: 94.50 | Steps: 30 | Epsilon: 0.17 | Result: WIN | Time: 0.00006s
Episode 119 | Reward: 97.30 | Steps: 24 | Epsilon: 0.17 | Result: WIN | Time: 0.00005s
