Starting epsilon decay: 0.991818
🔥 New best solution! Steps: 156. Decay decreased to 0.990752
Episode 42 | Reward: 96.1 | Steps: 22 | Epsilon: 0.150 | Result: WIN | Decay: 0.976888 | Time: 0.0001s
Episode 43 | Reward: 96.3 | Steps: 29 | Epsilon: 0.146 | Result: WIN | Decay: 0.976888 | Time: 0.0001s
Episode 44 | Reward: 97.1 | Steps: 21 | Epsilon: 0.143 | Result: WIN | Decay: 0.976888 | Time: 0.0001s
Episode 45 | Reward: 98.5 | Steps: 16 | Epsilon: 0.140 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 46 | Reward: 98.5 | Steps: 16 | Epsilon: 0.136 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 47 | Reward: 94.9 | Steps: 25 | Epsilon: 0.133 | Result: WIN | Decay: 0.976888 | Time: 0.0001s
Episode 48 | Reward: 97.5 | Steps: 17 | Epsilon: 0.130 | Result: WIN | Decay: 0.976888 | Time: 0.0001s
Episode 49 | Reward: 97.5 | Steps: 17 | Epsilon: 0.127 | Result: WIN | Decay: 0.976888 | Time: 0.0001s
Episode 50 | Reward: 97.1 | Steps: 21 | Epsilon: 0.124 | Result: WIN | Decay: 0.976888 | Time: 0.0001s
Episode 51 | Reward: 97.5 | Steps: 17 | Epsilon: 0.121 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 52 | Reward: 97.5 | Steps: 17 | Epsilon: 0.119 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 53 | Reward: 94.3 | Steps: 22 | Epsilon: 0.116 | Result: WIN | Decay: 0.976888 | Time: 0.0001s
Episode 54 | Reward: 98.5 | Steps: 16 | Epsilon: 0.113 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 55 | Reward: 97.3 | Steps: 19 | Epsilon: 0.111 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
