Episode 60 | Reward: 97.80 | Steps: 12 | Epsilon: 0.15 | Result: WIN | Time: 0.00003s
Episode 61 | Reward: 99.20 | Steps: 9 | Epsilon: 0.15 | Result: WIN | Time: 0.00002s
Episode 62 | Reward: 99.20 | Steps: 9 | Epsilon: 0.15 | Result: WIN | Time: 0.00002s
Episode 63 | Reward: 98.20 | Steps: 10 | Epsilon: 0.15 | Result: WIN | Time: 0.00002s
Episode 64 | Reward: 99.20 | Steps: 9 | Epsilon: 0.15 | Result: WIN | Time: 0.00002s
Episode 65 | Reward: 98.20 | Steps: 10 | Epsilon: 0.15 | Result: WIN | Time: 0.00002s
Episode 66 | Reward: 99.20 | Steps: 9 | Epsilon: 0.14 | Result: WIN | Time: 0.00002s
Episode 67 | Reward: 97.90 | Steps: 12 | Epsilon: 0.14 | Result: WIN | Time: 0.00003s
Episode 68 | Reward: 98.20 | Steps: 10 | Epsilon: 0.14 | Result: WIN | Time: 0.00002s
Episode 69 | Reward: 98.40 | Steps: 13 | Epsilon: 0.14 | Result: WIN | Time: 0.00003s
Episode 70 | Reward: 96.00 | Steps: 17 | Epsilon: 0.14 | Result: WIN | Time: 0.00003s
Episode 71 | Reward: 97.90 | Steps: 12 | Epsilon: 0.14 | Result: WIN | Time: 0.00004s
Episode 72 | Reward: 98.20 | Steps: 10 | Epsilon: 0.14 | Result: WIN | Time: 0.00003s
Episode 73 | Reward: 98.80 | Steps: 11 | Epsilon: 0.14 | Result: WIN | Time: 0.00002s
Episode 74 | Reward: 98.20 | Steps: 10 | Epsilon: 0.14 | Result: WIN | Time: 0.00002s
Episode 75 | Reward: 92.80 | Steps: 17 | Epsilon: 0.14 | Result: WIN | Time: 0.00003s
Episode 76 | Reward: 99.20 | Steps: 9 | Epsilon: 0.14 | Result: WIN | Time: 0.00002s
Episode 77 | Reward: 97.20 | Steps: 16 | Epsilon: 0.14 | Result: WIN | Time: 0.00003s
Episode 78 | Reward: 99.20 | Steps: 9 | Epsilon: 0.14 | Result: WIN | Time: 0.00002s
Episode 79 | Reward: 99.20 | Steps: 9 | Epsilon: 0.14 | Result: WIN | Time: 0.00002s
Episode 80 | Reward: 99.20 | Steps: 9 | Epsilon: 0.13 | Result: WIN | Time: 0.00002s
Episode 81 | Reward: 99.20 | Steps: 9 | Epsilon: 0.13 | Result: WIN | Time: 0.00002s
Episode 82 | Reward: 98.20 | Steps: 10 | Epsilon: 0.13 | Result: WIN | Time: 0.00002s
Episode 83 | Reward: 96.80 | Steps: 13 | Epsilon: 0.13 | Result: WIN | Time: 0.00003s
Episode 84 | Reward: 99.20 | Steps: 9 | Epsilon: 0.13 | Result: WIN | Time: 0.00002s
Episode 85 | Reward: 99.20 | Steps: 9 | Epsilon: 0.13 | Result: WIN | Time: 0.00002s
Episode 86 | Reward: 96.20 | Steps: 12 | Epsilon: 0.13 | Result: WIN | Time: 0.00003s
Episode 87 | Reward: 99.20 | Steps: 9 | Epsilon: 0.13 | Result: WIN | Time: 0.00002s
Episode 88 | Reward: 98.80 | Steps: 11 | Epsilon: 0.13 | Result: WIN | Time: 0.00002s
Episode 89 | Reward: 98.20 | Steps: 10 | Epsilon: 0.13 | Result: WIN | Time: 0.00002s
Episode 90 | Reward: 98.80 | Steps: 11 | Epsilon: 0.13 | Result: WIN | Time: 0.00002s
Episode 91 | Reward: 98.20 | Steps: 10 | Epsilon: 0.13 | Result: WIN | Time: 0.00002s
Episode 92 | Reward: 98.10 | Steps: 15 | Epsilon: 0.13 | Result: WIN | Time: 0.00003s
Episode 93 | Reward: 98.80 | Steps: 11 | Epsilon: 0.13 | Result: WIN | Time: 0.00002s
Episode 94 | Reward: 97.80 | Steps: 12 | Epsilon: 0.13 | Result: WIN | Time: 0.00003s
Episode 95 | Reward: 99.20 | Steps: 9 | Epsilon: 0.12 | Result: WIN | Time: 0.00002s
Episode 96 | Reward: 98.90 | Steps: 11 | Epsilon: 0.12 | Result: WIN | Time: 0.00002s
Episode 97 | Reward: 99.20 | Steps: 9 | Epsilon: 0.12 | Result: WIN | Time: 0.00002s
Episode 98 | Reward: 99.20 | Steps: 9 | Epsilon: 0.12 | Result: WIN | Time: 0.00002s
Episode 99 | Reward: 99.20 | Steps: 9 | Epsilon: 0.12 | Result: WIN | Time: 0.00002s
Episode 100 | Reward: 98.80 | Steps: 11 | Epsilon: 0.12 | Result: WIN | Time: 0.00002s
Episode 101 | Reward: 98.90 | Steps: 11 | Epsilon: 0.12 | Result: WIN | Time: 0.00002s
Episode 102 | Reward: 98.20 | Steps: 10 | Epsilon: 0.12 | Result: WIN | Time: 0.00002s
Episode 103 | Reward: 98.90 | Steps: 11 | Epsilon: 0.12 | Result: WIN | Time: 0.00002s
Episode 104 | Reward: 97.90 | Steps: 12 | Epsilon: 0.12 | Result: WIN | Time: 0.00003s
Episode 105 | Reward: 99.20 | Steps: 9 | Epsilon: 0.12 | Result: WIN | Time: 0.00002s
Episode 106 | Reward: 98.20 | Steps: 10 | Epsilon: 0.12 | Result: WIN | Time: 0.00002s
Episode 107 | Reward: 98.80 | Steps: 11 | Epsilon: 0.12 | Result: WIN | Time: 0.00002s
Episode 108 | Reward: 99.20 | Steps: 9 | Epsilon: 0.12 | Result: WIN | Time: 0.00002s
Episode 109 | Reward: 99.20 | Steps: 9 | Epsilon: 0.12 | Result: WIN | Time: 0.00002s
Episode 110 | Reward: 98.90 | Steps: 11 | Epsilon: 0.12 | Result: WIN | Time: 0.00002s
Episode 111 | Reward: 99.20 | Steps: 9 | Epsilon: 0.12 | Result: WIN | Time: 0.00002s
Episode 112 | Reward: 99.20 | Steps: 9 | Epsilon: 0.11 | Result: WIN | Time: 0.00002s
Episode 113 | Reward: 99.20 | Steps: 9 | Epsilon: 0.11 | Result: WIN | Time: 0.00002s
Episode 114 | Reward: 99.20 | Steps: 9 | Epsilon: 0.11 | Result: WIN | Time: 0.00002s
Episode 115 | Reward: 98.20 | Steps: 10 | Epsilon: 0.11 | Result: WIN | Time: 0.00002s
Episode 116 | Reward: 99.20 | Steps: 9 | Epsilon: 0.11 | Result: WIN | Time: 0.00002s
Episode 117 | Reward: 99.20 | Steps: 9 | Epsilon: 0.11 | Result: WIN | Time: 0.00002s
Episode 118 | Reward: 99.20 | Steps: 9 | Epsilon: 0.11 | Result: WIN | Time: 0.00002s
Episode 119 | Reward: 99.20 | Steps: 9 | Epsilon: 0.11 | Result: WIN | Time: 0.00002s
Episode 120 | Reward: 99.20 | Steps: 9 | Epsilon: 0.11 | Result: WIN | Time: 0.00002s
Episode 121 | Reward: 98.90 | Steps: 11 | Epsilon: 0.11 | Result: WIN | Time: 0.00002s
Episode 122 | Reward: 99.20 | Steps: 9 | Epsilon: 0.11 | Result: WIN | Time: 0.00002s
Episode 123 | Reward: 98.40 | Steps: 13 | Epsilon: 0.11 | Result: WIN | Time: 0.00003s
Episode 124 | Reward: 99.20 | Steps: 9 | Epsilon: 0.11 | Result: WIN | Time: 0.00002s
Episode 125 | Reward: 98.20 | Steps: 10 | Epsilon: 0.11 | Result: WIN | Time: 0.00002s
Episode 126 | Reward: 98.20 | Steps: 10 | Epsilon: 0.11 | Result: WIN | Time: 0.00002s
Episode 127 | Reward: 99.20 | Steps: 9 | Epsilon: 0.11 | Result: WIN | Time: 0.00002s
Episode 128 | Reward: 97.80 | Steps: 12 | Epsilon: 0.11 | Result: WIN | Time: 0.00003s
Episode 129 | Reward: 99.20 | Steps: 9 | Epsilon: 0.11 | Result: WIN | Time: 0.00002s
Episode 130 | Reward: 98.80 | Steps: 11 | Epsilon: 0.10 | Result: WIN | Time: 0.00002s
Episode 131 | Reward: 98.20 | Steps: 10 | Epsilon: 0.10 | Result: WIN | Time: 0.00002s
Episode 132 | Reward: 98.80 | Steps: 11 | Epsilon: 0.10 | Result: WIN | Time: 0.00002s
Episode 133 | Reward: 99.20 | Steps: 9 | Epsilon: 0.10 | Result: WIN | Time: 0.00002s
Episode 134 | Reward: 99.20 | Steps: 9 | Epsilon: 0.10 | Result: WIN | Time: 0.00002s
Episode 135 | Reward: 99.20 | Steps: 9 | Epsilon: 0.10 | Result: WIN | Time: 0.00002s
Episode 136 | Reward: 98.20 | Steps: 10 | Epsilon: 0.10 | Result: WIN | Time: 0.00002s
Episode 137 | Reward: 99.20 | Steps: 9 | Epsilon: 0.10 | Result: WIN | Time: 0.00002s
Episode 138 | Reward: 99.20 | Steps: 9 | Epsilon: 0.10 | Result: WIN | Time: 0.00002s
Episode 139 | Reward: 98.80 | Steps: 11 | Epsilon: 0.10 | Result: WIN | Time: 0.00002s
Episode 140 | Reward: 96.80 | Steps: 13 | Epsilon: 0.10 | Result: WIN | Time: 0.00003s
Episode 141 | Reward: 98.90 | Steps: 11 | Epsilon: 0.10 | Result: WIN | Time: 0.00002s
Episode 142 | Reward: 99.20 | Steps: 9 | Epsilon: 0.10 | Result: WIN | Time: 0.00002s
Episode 143 | Reward: 97.80 | Steps: 12 | Epsilon: 0.10 | Result: WIN | Time: 0.00002s
Episode 144 | Reward: 99.20 | Steps: 9 | Epsilon: 0.10 | Result: WIN | Time: 0.00003s
Episode 145 | Reward: 99.20 | Steps: 9 | Epsilon: 0.10 | Result: WIN | Time: 0.00002s
Episode 146 | Reward: 99.20 | Steps: 9 | Epsilon: 0.10 | Result: WIN | Time: 0.00002s
Episode 147 | Reward: 99.20 | Steps: 9 | Epsilon: 0.10 | Result: WIN | Time: 0.00002s
Episode 148 | Reward: 97.20 | Steps: 11 | Epsilon: 0.10 | Result: WIN | Time: 0.00002s
Episode 149 | Reward: 98.20 | Steps: 10 | Epsilon: 0.10 | Result: WIN | Time: 0.00002s
Episode 150 | Reward: 97.20 | Steps: 11 | Epsilon: 0.09 | Result: WIN | Time: 0.00002s
Episode 151 | Reward: 99.20 | Steps: 9 | Epsilon: 0.09 | Result: WIN | Time: 0.00002s
Episode 152 | Reward: 99.20 | Steps: 9 | Epsilon: 0.09 | Result: WIN | Time: 0.00002s
Episode 153 | Reward: 98.90 | Steps: 11 | Epsilon: 0.09 | Result: WIN | Time: 0.00002s
Episode 154 | Reward: 99.20 | Steps: 9 | Epsilon: 0.09 | Result: WIN | Time: 0.00002s
Episode 155 | Reward: 98.20 | Steps: 10 | Epsilon: 0.09 | Result: WIN | Time: 0.00002s
Episode 156 | Reward: 99.20 | Steps: 9 | Epsilon: 0.09 | Result: WIN | Time: 0.00002s
Episode 157 | Reward: 99.20 | Steps: 9 | Epsilon: 0.09 | Result: WIN | Time: 0.00002s
Episode 158 | Reward: 99.20 | Steps: 9 | Epsilon: 0.09 | Result: WIN | Time: 0.00002s
Episode 159 | Reward: 98.80 | Steps: 11 | Epsilon: 0.09 | Result: WIN | Time: 0.00002s
Episode 160 | Reward: 98.80 | Steps: 11 | Epsilon: 0.09 | Result: WIN | Time: 0.00002s
Episode 161 | Reward: 98.20 | Steps: 10 | Epsilon: 0.09 | Result: WIN | Time: 0.00002s
Episode 162 | Reward: 99.20 | Steps: 9 | Epsilon: 0.09 | Result: WIN | Time: 0.00002s
Episode 163 | Reward: 99.20 | Steps: 9 | Epsilon: 0.09 | Result: WIN | Time: 0.00002s
Episode 164 | Reward: 99.20 | Steps: 9 | Epsilon: 0.09 | Result: WIN | Time: 0.00002s
Episode 165 | Reward: 99.20 | Steps: 9 | Epsilon: 0.09 | Result: WIN | Time: 0.00002s
Episode 166 | Reward: 98.90 | Steps: 11 | Epsilon: 0.09 | Result: WIN | Time: 0.00003s
Episode 167 | Reward: 99.20 | Steps: 9 | Epsilon: 0.09 | Result: WIN | Time: 0.00002s
Episode 168 | Reward: 99.20 | Steps: 9 | Epsilon: 0.09 | Result: WIN | Time: 0.00002s
Episode 169 | Reward: 96.20 | Steps: 12 | Epsilon: 0.09 | Result: WIN | Time: 0.00003s
Episode 170 | Reward: 98.20 | Steps: 10 | Epsilon: 0.09 | Result: WIN | Time: 0.00002s
Episode 171 | Reward: 99.20 | Steps: 9 | Epsilon: 0.09 | Result: WIN | Time: 0.00002s
Episode 172 | Reward: 98.80 | Steps: 11 | Epsilon: 0.08 | Result: WIN | Time: 0.00003s
Episode 173 | Reward: 99.20 | Steps: 9 | Epsilon: 0.08 | Result: WIN | Time: 0.00002s
Episode 174 | Reward: 99.20 | Steps: 9 | Epsilon: 0.08 | Result: WIN | Time: 0.00002s
Episode 175 | Reward: 98.20 | Steps: 10 | Epsilon: 0.08 | Result: WIN | Time: 0.00002s
Episode 176 | Reward: 99.20 | Steps: 9 | Epsilon: 0.08 | Result: WIN | Time: 0.00002s
Episode 177 | Reward: 99.20 | Steps: 9 | Epsilon: 0.08 | Result: WIN | Time: 0.00002s
Episode 178 | Reward: 99.20 | Steps: 9 | Epsilon: 0.08 | Result: WIN | Time: 0.00002s
Episode 179 | Reward: 98.90 | Steps: 11 | Epsilon: 0.08 | Result: WIN | Time: 0.00002s
Episode 180 | Reward: 98.20 | Steps: 10 | Epsilon: 0.08 | Result: WIN | Time: 0.00002s
Episode 181 | Reward: 99.20 | Steps: 9 | Epsilon: 0.08 | Result: WIN | Time: 0.00002s
Episode 182 | Reward: 96.40 | Steps: 15 | Epsilon: 0.08 | Result: WIN | Time: 0.00003s
Episode 183 | Reward: 98.90 | Steps: 11 | Epsilon: 0.08 | Result: WIN | Time: 0.00002s
Episode 184 | Reward: 99.20 | Steps: 9 | Epsilon: 0.08 | Result: WIN | Time: 0.00002s
Episode 185 | Reward: 99.20 | Steps: 9 | Epsilon: 0.08 | Result: WIN | Time: 0.00002s
Episode 186 | Reward: 99.20 | Steps: 9 | Epsilon: 0.08 | Result: WIN | Time: 0.00002s
Episode 187 | Reward: 99.20 | Steps: 9 | Epsilon: 0.08 | Result: WIN | Time: 0.00002s
Episode 188 | Reward: 98.80 | Steps: 11 | Epsilon: 0.08 | Result: WIN | Time: 0.00002s
Episode 189 | Reward: 99.20 | Steps: 9 | Epsilon: 0.08 | Result: WIN | Time: 0.00002s
Episode 190 | Reward: 99.20 | Steps: 9 | Epsilon: 0.08 | Result: WIN | Time: 0.00002s
Episode 191 | Reward: 98.20 | Steps: 10 | Epsilon: 0.08 | Result: WIN | Time: 0.00002s
Episode 192 | Reward: 98.60 | Steps: 13 | Epsilon: 0.08 | Result: WIN | Time: 0.00003s
Episode 193 | Reward: 99.20 | Steps: 9 | Epsilon: 0.08 | Result: WIN | Time: 0.00002s
Episode 194 | Reward: 99.20 | Steps: 9 | Epsilon: 0.08 | Result: WIN | Time: 0.00002s
Episode 195 | Reward: 98.20 | Steps: 10 | Epsilon: 0.08 | Result: WIN | Time: 0.00002s
Episode 196 | Reward: 97.20 | Steps: 11 | Epsilon: 0.08 | Result: WIN | Time: 0.00003s
Episode 197 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00003s
Episode 198 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00002s
Episode 199 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00002s
Episode 200 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00002s
Episode 201 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00002s
Episode 202 | Reward: 98.80 | Steps: 11 | Epsilon: 0.07 | Result: WIN | Time: 0.00002s
Episode 203 | Reward: 98.20 | Steps: 10 | Epsilon: 0.07 | Result: WIN | Time: 0.00002s
Episode 204 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00003s
Episode 205 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00002s
Episode 206 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00002s
Episode 207 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00002s
Episode 208 | Reward: 97.20 | Steps: 11 | Epsilon: 0.07 | Result: WIN | Time: 0.00002s
Episode 209 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00002s
Episode 210 | Reward: 97.80 | Steps: 12 | Epsilon: 0.07 | Result: WIN | Time: 0.00003s
Episode 211 | Reward: 98.20 | Steps: 10 | Epsilon: 0.07 | Result: WIN | Time: 0.00002s
Episode 212 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00002s
Episode 213 | Reward: 97.20 | Steps: 11 | Epsilon: 0.07 | Result: WIN | Time: 0.00003s
Episode 214 | Reward: 98.20 | Steps: 10 | Epsilon: 0.07 | Result: WIN | Time: 0.00002s
Episode 215 | Reward: 97.20 | Steps: 11 | Epsilon: 0.07 | Result: WIN | Time: 0.00002s
Episode 216 | Reward: 98.20 | Steps: 10 | Epsilon: 0.07 | Result: WIN | Time: 0.00002s
Episode 217 | Reward: 98.90 | Steps: 11 | Epsilon: 0.07 | Result: WIN | Time: 0.00003s
Episode 218 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00002s
Episode 219 | Reward: 98.90 | Steps: 11 | Epsilon: 0.07 | Result: WIN | Time: 0.00002s
Episode 220 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00002s
Episode 221 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00004s
Episode 222 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00002s
Episode 223 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00002s
Episode 224 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00002s
Episode 225 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00002s
