Starting epsilon decay: 0.997755
🔥 New best solution! Steps: 3113. Decay decreased to 0.997461
Episode 43 | Reward: -165.79999999999643 | Steps: 1192 | Epsilon: 0.260 | Result: WIN | Decay: 0.995400 | Time: 0.0028s
Episode 44 | Reward: -66.79999999999771 | Steps: 823 | Epsilon: 0.259 | Result: WIN | Decay: 0.995400 | Time: 0.0023s
Episode 45 | Reward: -79.1999999999978 | Steps: 785 | Epsilon: 0.258 | Result: WIN | Decay: 0.995400 | Time: 0.0020s
Episode 46 | Reward: 5.400000000000318 | Steps: 470 | Epsilon: 0.257 | Result: WIN | Decay: 0.995400 | Time: 0.0011s
Episode 47 | Reward: -158.5999999999957 | Steps: 1210 | Epsilon: 0.255 | Result: WIN | Decay: 0.995400 | Time: 0.0030s
Episode 48 | Reward: 31.599999999999795 | Steps: 334 | Epsilon: 0.254 | Result: WIN | Decay: 0.995400 | Time: 0.0010s
Episode 49 | Reward: -45.99999999999835 | Steps: 750 | Epsilon: 0.253 | Result: WIN | Decay: 0.995400 | Time: 0.0020s
Episode 50 | Reward: 25.0000000000002 | Steps: 373 | Epsilon: 0.252 | Result: WIN | Decay: 0.995400 | Time: 0.0009s
Episode 51 | Reward: -47.99999999999818 | Steps: 743 | Epsilon: 0.251 | Result: WIN | Decay: 0.995400 | Time: 0.0018s
Episode 52 | Reward: 4.600000000000591 | Steps: 523 | Epsilon: 0.250 | Result: WIN | Decay: 0.995400 | Time: 0.0013s
Episode 53 | Reward: 39.39999999999976 | Steps: 283 | Epsilon: 0.248 | Result: WIN | Decay: 0.995400 | Time: 0.0008s
Episode 54 | Reward: -245.40000000000362 | Steps: 1637 | Epsilon: 0.247 | Result: WIN | Decay: 0.995400 | Time: 0.0045s
Episode 55 | Reward: 24.599999999999966 | Steps: 332 | Epsilon: 0.246 | Result: WIN | Decay: 0.995400 | Time: 0.0010s
Episode 56 | Reward: 17.200000000000216 | Steps: 433 | Epsilon: 0.245 | Result: WIN | Decay: 0.995400 | Time: 0.0010s
Episode 57 | Reward: -70.59999999999738 | Steps: 915 | Epsilon: 0.244 | Result: WIN | Decay: 0.995400 | Time: 0.0022s
Episode 58 | Reward: -118.59999999999653 | Steps: 1116 | Epsilon: 0.243 | Result: WIN | Decay: 0.995400 | Time: 0.0031s
🔥 New best solution! Steps: 208. Decay decreased to 0.995106
Episode 59 | Reward: 58.59999999999987 | Steps: 208 | Epsilon: 0.242 | Result: WIN | Decay: 0.995106 | Time: 0.0005s
Episode 60 | Reward: 23.999999999999844 | Steps: 401 | Epsilon: 0.240 | Result: WIN | Decay: 0.995106 | Time: 0.0010s
