Episode 60 | Reward: 98.50 | Steps: 16 | Epsilon: 0.22 | Result: WIN | Time: 0.00003s
Episode 61 | Reward: 93.60 | Steps: 29 | Epsilon: 0.22 | Result: WIN | Time: 0.00006s
Episode 62 | Reward: 96.50 | Steps: 18 | Epsilon: 0.22 | Result: WIN | Time: 0.00004s
Episode 63 | Reward: 96.10 | Steps: 20 | Epsilon: 0.22 | Result: WIN | Time: 0.00004s
Episode 64 | Reward: 96.10 | Steps: 20 | Epsilon: 0.22 | Result: WIN | Time: 0.00004s
Episode 65 | Reward: 97.10 | Steps: 19 | Epsilon: 0.22 | Result: WIN | Time: 0.00004s
Episode 66 | Reward: 97.50 | Steps: 17 | Epsilon: 0.22 | Result: WIN | Time: 0.00004s
Episode 67 | Reward: 95.10 | Steps: 26 | Epsilon: 0.22 | Result: WIN | Time: 0.00005s
Episode 68 | Reward: 96.20 | Steps: 25 | Epsilon: 0.21 | Result: WIN | Time: 0.00006s
Episode 69 | Reward: 93.50 | Steps: 29 | Epsilon: 0.21 | Result: WIN | Time: 0.00008s
Episode 70 | Reward: 97.70 | Steps: 20 | Epsilon: 0.21 | Result: WIN | Time: 0.00004s
Episode 71 | Reward: 94.50 | Steps: 20 | Epsilon: 0.21 | Result: WIN | Time: 0.00004s
Episode 72 | Reward: 95.80 | Steps: 22 | Epsilon: 0.21 | Result: WIN | Time: 0.00005s
Episode 73 | Reward: 96.10 | Steps: 20 | Epsilon: 0.21 | Result: WIN | Time: 0.00004s
Episode 74 | Reward: 97.20 | Steps: 19 | Epsilon: 0.21 | Result: WIN | Time: 0.00004s
Episode 75 | Reward: 98.50 | Steps: 16 | Epsilon: 0.21 | Result: WIN | Time: 0.00003s
Episode 76 | Reward: 97.10 | Steps: 19 | Epsilon: 0.21 | Result: WIN | Time: 0.00004s
Episode 77 | Reward: 96.50 | Steps: 18 | Epsilon: 0.20 | Result: WIN | Time: 0.00004s
Episode 78 | Reward: 93.80 | Steps: 24 | Epsilon: 0.20 | Result: WIN | Time: 0.00005s
Episode 79 | Reward: 90.80 | Steps: 27 | Epsilon: 0.20 | Result: WIN | Time: 0.00006s
Episode 80 | Reward: 97.20 | Steps: 19 | Epsilon: 0.20 | Result: WIN | Time: 0.00004s
Episode 81 | Reward: 95.80 | Steps: 22 | Epsilon: 0.20 | Result: WIN | Time: 0.00005s
Episode 82 | Reward: 97.50 | Steps: 17 | Epsilon: 0.20 | Result: WIN | Time: 0.00004s
Episode 83 | Reward: 97.10 | Steps: 24 | Epsilon: 0.20 | Result: WIN | Time: 0.00005s
Episode 84 | Reward: 95.50 | Steps: 19 | Epsilon: 0.20 | Result: WIN | Time: 0.00004s
Episode 85 | Reward: 98.50 | Steps: 16 | Epsilon: 0.20 | Result: WIN | Time: 0.00004s
