Episode 22 | Reward: 99.60 | Steps: 5 | Epsilon: 0.09 | Result: WIN | Time: 0.00001s
Episode 23 | Reward: 99.60 | Steps: 5 | Epsilon: 0.09 | Result: WIN | Time: 0.00001s
Episode 24 | Reward: 99.60 | Steps: 5 | Epsilon: 0.09 | Result: WIN | Time: 0.00001s
Episode 25 | Reward: 99.60 | Steps: 5 | Epsilon: 0.09 | Result: WIN | Time: 0.00001s
Episode 26 | Reward: 99.60 | Steps: 5 | Epsilon: 0.09 | Result: WIN | Time: 0.00001s
Episode 27 | Reward: 99.60 | Steps: 5 | Epsilon: 0.09 | Result: WIN | Time: 0.00001s
Episode 28 | Reward: 98.60 | Steps: 6 | Epsilon: 0.09 | Result: WIN | Time: 0.00002s
Episode 29 | Reward: 99.20 | Steps: 7 | Epsilon: 0.09 | Result: WIN | Time: 0.00002s
Episode 30 | Reward: 99.60 | Steps: 5 | Epsilon: 0.09 | Result: WIN | Time: 0.00001s
Episode 31 | Reward: 99.60 | Steps: 5 | Epsilon: 0.09 | Result: WIN | Time: 0.00001s
Episode 32 | Reward: 99.20 | Steps: 7 | Epsilon: 0.09 | Result: WIN | Time: 0.00002s
Episode 33 | Reward: 99.60 | Steps: 5 | Epsilon: 0.09 | Result: WIN | Time: 0.00001s
Episode 34 | Reward: 99.60 | Steps: 5 | Epsilon: 0.08 | Result: WIN | Time: 0.00001s
Episode 35 | Reward: 99.60 | Steps: 5 | Epsilon: 0.08 | Result: WIN | Time: 0.00001s
Episode 36 | Reward: 99.60 | Steps: 5 | Epsilon: 0.08 | Result: WIN | Time: 0.00001s
Episode 37 | Reward: 99.60 | Steps: 5 | Epsilon: 0.08 | Result: WIN | Time: 0.00001s
Episode 38 | Reward: 98.60 | Steps: 6 | Epsilon: 0.08 | Result: WIN | Time: 0.00002s
Episode 39 | Reward: 99.60 | Steps: 5 | Epsilon: 0.08 | Result: WIN | Time: 0.00001s
Episode 40 | Reward: 99.60 | Steps: 5 | Epsilon: 0.08 | Result: WIN | Time: 0.00001s
