Starting epsilon decay: 0.997755
🔥 New best solution! Steps: 1787. Decay decreased to 0.997461
Episode 44 | Reward: 47.09999999999975 | Steps: 287 | Epsilon: 0.255 | Result: WIN | Decay: 0.995695 | Time: 0.0007s
Episode 45 | Reward: 38.299999999999734 | Steps: 330 | Epsilon: 0.254 | Result: WIN | Decay: 0.995695 | Time: 0.0008s
Episode 46 | Reward: 64.69999999999993 | Steps: 165 | Epsilon: 0.253 | Result: WIN | Decay: 0.995695 | Time: 0.0004s
Episode 47 | Reward: 16.700000000000202 | Steps: 429 | Epsilon: 0.252 | Result: WIN | Decay: 0.995695 | Time: 0.0010s
Episode 48 | Reward: 48.09999999999978 | Steps: 250 | Epsilon: 0.251 | Result: WIN | Decay: 0.995695 | Time: 0.0007s
Episode 49 | Reward: 63.8999999999999 | Steps: 182 | Epsilon: 0.250 | Result: WIN | Decay: 0.995695 | Time: 0.0006s
Episode 50 | Reward: 44.899999999999714 | Steps: 282 | Epsilon: 0.249 | Result: WIN | Decay: 0.995695 | Time: 0.0008s
Episode 51 | Reward: 31.899999999999864 | Steps: 340 | Epsilon: 0.248 | Result: WIN | Decay: 0.995695 | Time: 0.0008s
Episode 52 | Reward: 58.099999999999824 | Steps: 231 | Epsilon: 0.247 | Result: WIN | Decay: 0.995695 | Time: 0.0006s
Episode 53 | Reward: 51.8999999999998 | Steps: 248 | Epsilon: 0.245 | Result: WIN | Decay: 0.995695 | Time: 0.0006s
Episode 54 | Reward: 70.6999999999999 | Steps: 177 | Epsilon: 0.244 | Result: WIN | Decay: 0.995695 | Time: 0.0004s
Episode 55 | Reward: -9.899999999999125 | Steps: 587 | Epsilon: 0.243 | Result: WIN | Decay: 0.995695 | Time: 0.0014s
Episode 56 | Reward: 60.69999999999984 | Steps: 232 | Epsilon: 0.242 | Result: WIN | Decay: 0.995695 | Time: 0.0006s
Episode 57 | Reward: 41.89999999999973 | Steps: 294 | Epsilon: 0.241 | Result: WIN | Decay: 0.995695 | Time: 0.0008s
Episode 58 | Reward: 64.49999999999991 | Steps: 176 | Epsilon: 0.240 | Result: WIN | Decay: 0.995695 | Time: 0.0004s
Episode 59 | Reward: 60.69999999999986 | Steps: 214 | Epsilon: 0.239 | Result: WIN | Decay: 0.995695 | Time: 0.0005s
