Episode 59 | Reward: 63.40 | Steps: 77 | Epsilon: 0.84 | Result: WIN | Time: 0.0002s
Episode 60 | Reward: -55.10 | Steps: 121 | Epsilon: 0.84 | Result: LOSE | Time: 0.0004s
Episode 61 | Reward: -73.10 | Steps: 121 | Epsilon: 0.83 | Result: LOSE | Time: 0.0004s
Episode 62 | Reward: -72.10 | Steps: 121 | Epsilon: 0.83 | Result: LOSE | Time: 0.0004s
Episode 63 | Reward: -74.10 | Steps: 121 | Epsilon: 0.83 | Result: LOSE | Time: 0.0004s
Episode 64 | Reward: -62.10 | Steps: 121 | Epsilon: 0.83 | Result: LOSE | Time: 0.0003s
Episode 65 | Reward: -69.10 | Steps: 121 | Epsilon: 0.82 | Result: LOSE | Time: 0.0004s
Episode 66 | Reward: -69.10 | Steps: 121 | Epsilon: 0.82 | Result: LOSE | Time: 0.0004s
Episode 67 | Reward: -60.10 | Steps: 121 | Epsilon: 0.82 | Result: LOSE | Time: 0.0004s
Episode 68 | Reward: -60.10 | Steps: 121 | Epsilon: 0.82 | Result: LOSE | Time: 0.0004s
Episode 69 | Reward: -62.10 | Steps: 121 | Epsilon: 0.81 | Result: LOSE | Time: 0.0004s
Episode 70 | Reward: -74.10 | Steps: 121 | Epsilon: 0.81 | Result: LOSE | Time: 0.0003s
Episode 71 | Reward: -63.10 | Steps: 121 | Epsilon: 0.81 | Result: LOSE | Time: 0.0003s
Episode 72 | Reward: 54.50 | Steps: 96 | Epsilon: 0.81 | Result: WIN | Time: 0.0003s
Episode 73 | Reward: 44.00 | Steps: 111 | Epsilon: 0.80 | Result: WIN | Time: 0.0003s
Episode 74 | Reward: -63.10 | Steps: 121 | Epsilon: 0.80 | Result: LOSE | Time: 0.0003s
Episode 75 | Reward: 69.70 | Steps: 64 | Epsilon: 0.80 | Result: WIN | Time: 0.0002s
Episode 76 | Reward: -50.10 | Steps: 121 | Epsilon: 0.80 | Result: LOSE | Time: 0.0003s
Episode 77 | Reward: -56.10 | Steps: 121 | Epsilon: 0.79 | Result: LOSE | Time: 0.0003s
Episode 78 | Reward: -62.10 | Steps: 121 | Epsilon: 0.79 | Result: LOSE | Time: 0.0003s
Episode 79 | Reward: 64.50 | Steps: 76 | Epsilon: 0.79 | Result: WIN | Time: 0.0002s
Episode 80 | Reward: 45.40 | Steps: 97 | Epsilon: 0.79 | Result: WIN | Time: 0.0003s
Episode 81 | Reward: -67.10 | Steps: 121 | Epsilon: 0.78 | Result: LOSE | Time: 0.0003s
Episode 82 | Reward: 56.30 | Steps: 98 | Epsilon: 0.78 | Result: WIN | Time: 0.0003s
Episode 83 | Reward: -59.10 | Steps: 121 | Epsilon: 0.78 | Result: LOSE | Time: 0.0003s
Episode 84 | Reward: 66.10 | Steps: 80 | Epsilon: 0.78 | Result: WIN | Time: 0.0002s
Episode 85 | Reward: -71.10 | Steps: 121 | Epsilon: 0.77 | Result: LOSE | Time: 0.0003s
Episode 86 | Reward: -65.10 | Steps: 121 | Epsilon: 0.77 | Result: LOSE | Time: 0.0004s
Episode 87 | Reward: 57.40 | Steps: 77 | Epsilon: 0.77 | Result: WIN | Time: 0.0002s
Episode 88 | Reward: 51.70 | Steps: 104 | Epsilon: 0.77 | Result: WIN | Time: 0.0003s
Episode 89 | Reward: 63.40 | Steps: 77 | Epsilon: 0.77 | Result: WIN | Time: 0.0002s
Episode 90 | Reward: 46.90 | Steps: 112 | Epsilon: 0.76 | Result: WIN | Time: 0.0003s
Episode 91 | Reward: -68.10 | Steps: 121 | Epsilon: 0.76 | Result: LOSE | Time: 0.0004s
Episode 92 | Reward: 56.90 | Steps: 92 | Epsilon: 0.76 | Result: WIN | Time: 0.0003s
Episode 93 | Reward: 55.80 | Steps: 93 | Epsilon: 0.76 | Result: WIN | Time: 0.0003s
Episode 94 | Reward: 69.30 | Steps: 68 | Epsilon: 0.75 | Result: WIN | Time: 0.0002s
Episode 95 | Reward: 29.80 | Steps: 113 | Epsilon: 0.75 | Result: WIN | Time: 0.0003s
Episode 96 | Reward: -56.10 | Steps: 121 | Epsilon: 0.75 | Result: LOSE | Time: 0.0004s
Episode 97 | Reward: -50.10 | Steps: 121 | Epsilon: 0.75 | Result: LOSE | Time: 0.0004s
Episode 98 | Reward: -72.10 | Steps: 121 | Epsilon: 0.74 | Result: LOSE | Time: 0.0004s
Episode 99 | Reward: 44.90 | Steps: 112 | Epsilon: 0.74 | Result: WIN | Time: 0.0003s
Episode 100 | Reward: -55.10 | Steps: 121 | Epsilon: 0.74 | Result: LOSE | Time: 0.0004s
Episode 101 | Reward: -54.10 | Steps: 121 | Epsilon: 0.74 | Result: LOSE | Time: 0.0004s
Episode 102 | Reward: 60.10 | Steps: 80 | Epsilon: 0.74 | Result: WIN | Time: 0.0002s
Episode 103 | Reward: 51.90 | Steps: 102 | Epsilon: 0.73 | Result: WIN | Time: 0.0003s
Episode 104 | Reward: -47.10 | Steps: 121 | Epsilon: 0.73 | Result: LOSE | Time: 0.0004s
Episode 105 | Reward: 58.60 | Steps: 105 | Epsilon: 0.73 | Result: WIN | Time: 0.0003s
Episode 106 | Reward: 45.20 | Steps: 119 | Epsilon: 0.73 | Result: WIN | Time: 0.0004s
Episode 107 | Reward: 77.30 | Steps: 48 | Epsilon: 0.73 | Result: WIN | Time: 0.0001s
Episode 108 | Reward: 58.30 | Steps: 78 | Epsilon: 0.72 | Result: WIN | Time: 0.0002s
Episode 109 | Reward: -68.10 | Steps: 121 | Epsilon: 0.72 | Result: LOSE | Time: 0.0004s
Episode 110 | Reward: 64.90 | Steps: 72 | Epsilon: 0.72 | Result: WIN | Time: 0.0002s
Episode 111 | Reward: 64.80 | Steps: 83 | Epsilon: 0.72 | Result: WIN | Time: 0.0002s
Episode 112 | Reward: -51.10 | Steps: 121 | Epsilon: 0.71 | Result: LOSE | Time: 0.0004s
Episode 113 | Reward: 54.40 | Steps: 107 | Epsilon: 0.71 | Result: WIN | Time: 0.0003s
Episode 114 | Reward: 76.10 | Steps: 60 | Epsilon: 0.71 | Result: WIN | Time: 0.0002s
Episode 115 | Reward: 70.10 | Steps: 80 | Epsilon: 0.71 | Result: WIN | Time: 0.0002s
Episode 116 | Reward: 72.30 | Steps: 58 | Epsilon: 0.71 | Result: WIN | Time: 0.0002s
Episode 117 | Reward: 75.90 | Steps: 62 | Epsilon: 0.70 | Result: WIN | Time: 0.0002s
