Episode 93 | Reward: 99.80 | Steps: 3 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 94 | Reward: 99.80 | Steps: 3 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 95 | Reward: 99.80 | Steps: 3 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 96 | Reward: 99.80 | Steps: 3 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 97 | Reward: 99.80 | Steps: 3 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 98 | Reward: 98.60 | Steps: 4 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 99 | Reward: 99.80 | Steps: 3 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 100 | Reward: 99.80 | Steps: 3 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 101 | Reward: 99.80 | Steps: 3 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 102 | Reward: 98.60 | Steps: 4 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 103 | Reward: 99.80 | Steps: 3 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 104 | Reward: 98.60 | Steps: 4 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 105 | Reward: 99.80 | Steps: 3 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 106 | Reward: 99.80 | Steps: 3 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 107 | Reward: 99.80 | Steps: 3 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 108 | Reward: 98.60 | Steps: 4 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 109 | Reward: 99.80 | Steps: 3 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 110 | Reward: 99.80 | Steps: 3 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 111 | Reward: 98.60 | Steps: 4 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 112 | Reward: 99.80 | Steps: 3 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 113 | Reward: 99.80 | Steps: 3 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 114 | Reward: 99.80 | Steps: 3 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 115 | Reward: 99.80 | Steps: 3 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 116 | Reward: 99.80 | Steps: 3 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 117 | Reward: 99.80 | Steps: 3 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 118 | Reward: 99.80 | Steps: 3 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 119 | Reward: 99.80 | Steps: 3 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 120 | Reward: 99.80 | Steps: 3 | Epsilon: 0.05 | Result: WIN | Time: 0.00001s
Episode 121 | Reward: 99.80 | Steps: 3 | Epsilon: 0.05 | Result: WIN | Time: 0.00001s
Episode 122 | Reward: 99.80 | Steps: 3 | Epsilon: 0.05 | Result: WIN | Time: 0.00001s
Episode 123 | Reward: 99.80 | Steps: 3 | Epsilon: 0.05 | Result: WIN | Time: 0.00001s
Episode 124 | Reward: 99.80 | Steps: 3 | Epsilon: 0.05 | Result: WIN | Time: 0.00001s
Episode 125 | Reward: 99.80 | Steps: 3 | Epsilon: 0.05 | Result: WIN | Time: 0.00001s
Episode 126 | Reward: 99.80 | Steps: 3 | Epsilon: 0.05 | Result: WIN | Time: 0.00001s
Episode 127 | Reward: 99.80 | Steps: 3 | Epsilon: 0.05 | Result: WIN | Time: 0.00001s
Episode 128 | Reward: 99.40 | Steps: 5 | Epsilon: 0.05 | Result: WIN | Time: 0.00002s
Episode 129 | Reward: 99.80 | Steps: 3 | Epsilon: 0.05 | Result: WIN | Time: 0.00001s
Episode 130 | Reward: 99.80 | Steps: 3 | Epsilon: 0.05 | Result: WIN | Time: 0.00001s
Episode 131 | Reward: 98.60 | Steps: 4 | Epsilon: 0.05 | Result: WIN | Time: 0.00001s
Episode 132 | Reward: 99.80 | Steps: 3 | Epsilon: 0.05 | Result: WIN | Time: 0.00001s
Episode 133 | Reward: 98.60 | Steps: 4 | Epsilon: 0.05 | Result: WIN | Time: 0.00001s
Episode 134 | Reward: 99.80 | Steps: 3 | Epsilon: 0.05 | Result: WIN | Time: 0.00001s
Episode 135 | Reward: 99.80 | Steps: 3 | Epsilon: 0.05 | Result: WIN | Time: 0.00001s
Episode 136 | Reward: 99.80 | Steps: 3 | Epsilon: 0.05 | Result: WIN | Time: 0.00001s
Episode 137 | Reward: 99.80 | Steps: 3 | Epsilon: 0.05 | Result: WIN | Time: 0.00001s
Episode 138 | Reward: 99.80 | Steps: 3 | Epsilon: 0.05 | Result: WIN | Time: 0.00001s
Episode 139 | Reward: 97.00 | Steps: 7 | Epsilon: 0.05 | Result: WIN | Time: 0.00002s
Converged at episode 139

Training finished. Total training time: 0.01667s
Greedy reached goal: True in 3 steps.
Learned path: [(1, 2), (1, 3), (2, 3)]

