Episode 60 | Reward: 96.20 | Steps: 25 | Epsilon: 0.22 | Result: WIN | Time: 0.00008s
Episode 61 | Reward: 96.10 | Steps: 25 | Epsilon: 0.22 | Result: WIN | Time: 0.00008s
Episode 62 | Reward: 95.70 | Steps: 22 | Epsilon: 0.22 | Result: WIN | Time: 0.00007s
Episode 63 | Reward: 95.00 | Steps: 26 | Epsilon: 0.22 | Result: WIN | Time: 0.00008s
Episode 64 | Reward: 92.70 | Steps: 33 | Epsilon: 0.22 | Result: WIN | Time: 0.00011s
Episode 65 | Reward: 93.90 | Steps: 27 | Epsilon: 0.22 | Result: WIN | Time: 0.00009s
Episode 66 | Reward: 93.80 | Steps: 27 | Epsilon: 0.22 | Result: WIN | Time: 0.00009s
Episode 67 | Reward: 89.70 | Steps: 27 | Epsilon: 0.21 | Result: WIN | Time: 0.00009s
Episode 68 | Reward: 93.80 | Steps: 27 | Epsilon: 0.21 | Result: WIN | Time: 0.00009s
Episode 69 | Reward: 93.80 | Steps: 27 | Epsilon: 0.21 | Result: WIN | Time: 0.00009s
Episode 70 | Reward: 97.30 | Steps: 24 | Epsilon: 0.21 | Result: WIN | Time: 0.00008s
Episode 71 | Reward: 98.10 | Steps: 20 | Epsilon: 0.21 | Result: WIN | Time: 0.00006s
Episode 72 | Reward: 92.90 | Steps: 31 | Epsilon: 0.21 | Result: WIN | Time: 0.00010s
Episode 73 | Reward: 93.30 | Steps: 29 | Epsilon: 0.21 | Result: WIN | Time: 0.00009s
Episode 74 | Reward: 93.80 | Steps: 27 | Epsilon: 0.21 | Result: WIN | Time: 0.00009s
Episode 75 | Reward: 94.60 | Steps: 28 | Epsilon: 0.21 | Result: WIN | Time: 0.00009s
Episode 76 | Reward: 95.70 | Steps: 22 | Epsilon: 0.20 | Result: WIN | Time: 0.00007s
Episode 77 | Reward: 96.50 | Steps: 28 | Epsilon: 0.20 | Result: WIN | Time: 0.00010s
Episode 78 | Reward: 94.10 | Steps: 25 | Epsilon: 0.20 | Result: WIN | Time: 0.00008s
Episode 79 | Reward: 96.10 | Steps: 25 | Epsilon: 0.20 | Result: WIN | Time: 0.00008s
Episode 80 | Reward: 95.30 | Steps: 24 | Epsilon: 0.20 | Result: WIN | Time: 0.00008s
Episode 81 | Reward: 92.10 | Steps: 30 | Epsilon: 0.20 | Result: WIN | Time: 0.00010s
Episode 82 | Reward: 95.70 | Steps: 22 | Epsilon: 0.20 | Result: WIN | Time: 0.00007s
Episode 83 | Reward: 96.10 | Steps: 25 | Epsilon: 0.20 | Result: WIN | Time: 0.00008s
Episode 84 | Reward: 94.70 | Steps: 28 | Epsilon: 0.20 | Result: WIN | Time: 0.00009s
Episode 85 | Reward: 95.30 | Steps: 24 | Epsilon: 0.20 | Result: WIN | Time: 0.00008s
Episode 86 | Reward: 95.30 | Steps: 24 | Epsilon: 0.19 | Result: WIN | Time: 0.00008s
Episode 87 | Reward: 95.50 | Steps: 29 | Epsilon: 0.19 | Result: WIN | Time: 0.00009s
Episode 88 | Reward: 96.90 | Steps: 21 | Epsilon: 0.19 | Result: WIN | Time: 0.00007s
Episode 89 | Reward: 90.10 | Steps: 30 | Epsilon: 0.19 | Result: WIN | Time: 0.00010s
Episode 90 | Reward: 90.50 | Steps: 28 | Epsilon: 0.19 | Result: WIN | Time: 0.00009s
Episode 91 | Reward: 96.50 | Steps: 23 | Epsilon: 0.19 | Result: WIN | Time: 0.00007s
Episode 92 | Reward: 94.90 | Steps: 26 | Epsilon: 0.19 | Result: WIN | Time: 0.00008s
