Episode 57 | Reward: -17647.00 | Steps: 35000 | Epsilon: 0.94 | Result: LOSE | Time: 0.1860s
Episode 58 | Reward: -18084.00 | Steps: 35000 | Epsilon: 0.94 | Result: LOSE | Time: 0.1915s
Episode 59 | Reward: -17368.00 | Steps: 35000 | Epsilon: 0.94 | Result: LOSE | Time: 0.1931s
Episode 60 | Reward: -17500.00 | Steps: 35000 | Epsilon: 0.94 | Result: LOSE | Time: 0.1909s
Episode 61 | Reward: -16138.60 | Steps: 31397 | Epsilon: 0.94 | Result: WIN | Time: 0.1653s
Episode 62 | Reward: -11360.40 | Steps: 21275 | Epsilon: 0.94 | Result: WIN | Time: 0.1140s
Episode 63 | Reward: -17749.00 | Steps: 35000 | Epsilon: 0.94 | Result: LOSE | Time: 0.1887s
Episode 64 | Reward: -17547.00 | Steps: 35000 | Epsilon: 0.94 | Result: LOSE | Time: 0.1857s
Episode 65 | Reward: -17217.00 | Steps: 35000 | Epsilon: 0.94 | Result: LOSE | Time: 0.1876s
Episode 66 | Reward: -7821.20 | Steps: 15523 | Epsilon: 0.94 | Result: WIN | Time: 0.0846s
Episode 67 | Reward: -7916.60 | Steps: 14637 | Epsilon: 0.94 | Result: WIN | Time: 0.0802s
Episode 68 | Reward: -16271.60 | Steps: 32607 | Epsilon: 0.93 | Result: WIN | Time: 0.1745s
Episode 69 | Reward: -17492.00 | Steps: 35000 | Epsilon: 0.93 | Result: LOSE | Time: 0.1888s
Episode 70 | Reward: -17575.00 | Steps: 35000 | Epsilon: 0.93 | Result: LOSE | Time: 0.1874s
Episode 71 | Reward: -9997.80 | Steps: 19929 | Epsilon: 0.93 | Result: WIN | Time: 0.1066s
Episode 72 | Reward: -8401.90 | Steps: 17360 | Epsilon: 0.93 | Result: WIN | Time: 0.1192s
Episode 73 | Reward: -17277.00 | Steps: 35000 | Epsilon: 0.93 | Result: LOSE | Time: 0.1888s
Episode 74 | Reward: -17102.00 | Steps: 35000 | Epsilon: 0.93 | Result: LOSE | Time: 0.1883s
Episode 75 | Reward: -16763.00 | Steps: 35000 | Epsilon: 0.93 | Result: LOSE | Time: 0.1904s
Episode 76 | Reward: -12833.40 | Steps: 26525 | Epsilon: 0.93 | Result: WIN | Time: 0.1446s
Episode 77 | Reward: -17272.00 | Steps: 35000 | Epsilon: 0.93 | Result: LOSE | Time: 0.1865s
Episode 78 | Reward: -16761.00 | Steps: 35000 | Epsilon: 0.92 | Result: LOSE | Time: 0.1895s
Episode 79 | Reward: -14654.20 | Steps: 30673 | Epsilon: 0.92 | Result: WIN | Time: 0.1640s
Episode 80 | Reward: -16822.00 | Steps: 35000 | Epsilon: 0.92 | Result: LOSE | Time: 0.1873s
Episode 81 | Reward: -16538.00 | Steps: 35000 | Epsilon: 0.92 | Result: LOSE | Time: 0.1905s
Episode 82 | Reward: -16578.00 | Steps: 35000 | Epsilon: 0.92 | Result: LOSE | Time: 0.1899s
Episode 83 | Reward: -16512.00 | Steps: 35000 | Epsilon: 0.92 | Result: LOSE | Time: 0.1902s
Episode 84 | Reward: -16439.00 | Steps: 35000 | Epsilon: 0.92 | Result: LOSE | Time: 0.2106s
Episode 85 | Reward: -16508.00 | Steps: 35000 | Epsilon: 0.92 | Result: LOSE | Time: 0.1894s
Episode 86 | Reward: -16447.00 | Steps: 35000 | Epsilon: 0.92 | Result: LOSE | Time: 0.1898s
Episode 87 | Reward: -16581.30 | Steps: 31454 | Epsilon: 0.92 | Result: WIN | Time: 0.1728s
Episode 88 | Reward: -16318.00 | Steps: 35000 | Epsilon: 0.92 | Result: LOSE | Time: 0.1903s
Episode 89 | Reward: -16335.00 | Steps: 35000 | Epsilon: 0.91 | Result: LOSE | Time: 0.1897s
Episode 90 | Reward: -15887.00 | Steps: 35000 | Epsilon: 0.91 | Result: LOSE | Time: 0.1901s
Episode 1 | Reward: -1469.10 | Steps: 2601 | Epsilon: 1.00 | Result: LOSE | Time: 0.0286s
Episode 2 | Reward: -1531.10 | Steps: 2601 | Epsilon: 1.00 | Result: LOSE | Time: 0.0133s
Episode 3 | Reward: -1461.10 | Steps: 2601 | Epsilon: 1.00 | Result: LOSE | Time: 0.0134s
Episode 4 | Reward: -1494.10 | Steps: 2601 | Epsilon: 1.00 | Result: LOSE | Time: 0.0138s
Episode 5 | Reward: -1525.10 | Steps: 2601 | Epsilon: 1.00 | Result: LOSE | Time: 0.0143s
Episode 6 | Reward: -1532.10 | Steps: 2601 | Epsilon: 0.99 | Result: LOSE | Time: 0.0141s
Episode 7 | Reward: -1535.10 | Steps: 2601 | Epsilon: 0.99 | Result: LOSE | Time: 0.0136s
Episode 8 | Reward: -1593.10 | Steps: 2601 | Epsilon: 0.99 | Result: LOSE | Time: 0.0135s
Episode 9 | Reward: -1499.10 | Steps: 2601 | Epsilon: 0.99 | Result: LOSE | Time: 0.0133s
